source,country,query,title,company,location,salary_min,salary_max,description,created,scraped_at,country_name,skills,salary_avg
adzuna,nl,react developer,React Developer,F2F.com,"Amsterdam, Noord-Holland",,,"(Dutch residents only) As a React-developer you will become part of an ambitious team that aims to develop the best fan engagement platform in the world. We do this for creators and their fans. Jouw rol We offer creators the most user-friendly platform to connect and maintain with their fans and make money from it. The team realizes that hundreds of thousands of users rely on fast and high-quality video streaming, various flexible subscription payment options and pay-to-unlock content. For many…",2025-06-18 08:06:21+00:00,2025-06-30 19:54:01.421267,Netherlands,['React'],
adzuna,nl,react developer,React Developer,Jelling,"Waalre, Noord-Brabant",,,"Max € 4.500,- | 32 tot 40 uur | Back-end Developer | REACT | Interne functie | Reageer direct! Functieomschrijving Ben jij een ambitieuze developer die energie krijgt van maatwerkoplossingen en het bouwen van slimme digitale tools? In deze rol werk je binnen een hecht team aan het ontwikkelen en optimaliseren van zowel web- als mobiele applicaties. Je houdt je bezig met het bouwen van stabiele back-end oplossingen en het opzetten van API-koppelingen die interne processen versnellen en verbetere…",2025-06-28 07:31:21+00:00,2025-06-30 19:54:01.421270,Netherlands,['React'],
adzuna,nl,react developer,React Native Developer,New Black,Nederland,,,"Welcome to New Black! We are seeking an experienced Senior React Native Developer to take a leading role in an exciting mission. As a key member of our team, you will drive the evolution of the web and mobile experience within EVA, our unified commerce platform. Your expertise will empower globally recognized brands and retailers to deliver a seamless, highly adaptable, and premium shopping experience across all digital touchpoints. You’ll collaborate closely with cross-functional teams, mentor…",2025-06-04 08:03:20+00:00,2025-06-30 19:54:01.421273,Netherlands,['React'],
adzuna,nl,react developer,Senior react developer,IT-idiots®,Nederland,78000.0,78000.0,"Senior React Developer gezocht! Voor een opdrachtgever zijn we op zoek naar een ervaren Senior React Developer die ons team Webontwikkeling komt versterken. Je werkt binnen een scrumteam bestaande uit drie developers, een UX-designer, een tester, een functioneel beheerder, een scrum master en een product owner. Dit team is een dynamische mix van zowel ervaren als nieuwe collega’s, en jij brengt met jouw senioriteit een waardevolle aanvulling. Jij bent iemand die écht impact wil maken. Je deelt …",2025-06-02 05:12:04+00:00,2025-06-30 19:54:01.421277,Netherlands,['React'],78000.0
adzuna,nl,react developer,Senior React Developer,OfferZen,"Utrecht, Provincie Utrecht",,,"Senior React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 6 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience work…",2022-11-30 15:03:43+00:00,2025-06-30 19:54:01.421280,Netherlands,['React'],
adzuna,nl,react developer,Senior React Developer,OfferZen,"Delft, Zuid-Holland",,,"Senior React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 6 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience work…",2023-02-16 14:35:20+00:00,2025-06-30 19:54:01.421283,Netherlands,['React'],
adzuna,nl,react developer,Junior React Developer,OfferZen,"Utrecht, Provincie Utrecht",,,"Junior React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 1 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience work…",2022-11-30 15:03:43+00:00,2025-06-30 19:54:01.421286,Netherlands,['React'],
adzuna,nl,react developer,Intermediate React Developer,OfferZen,"Eindhoven, Noord-Brabant",,,"Intermediate React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experienc…",2023-02-16 14:35:22+00:00,2025-06-30 19:54:01.421290,Netherlands,['React'],
adzuna,nl,react developer,Intermediate React Developer,OfferZen,"Rotterdam, Zuid-Holland",,,"Intermediate React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experienc…",2022-11-30 15:03:41+00:00,2025-06-30 19:54:01.421293,Netherlands,['React'],
adzuna,nl,react developer,Intermediate React Developer,OfferZen,"Utrecht, Provincie Utrecht",,,"Intermediate React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experienc…",2022-11-30 15:03:43+00:00,2025-06-30 19:54:01.421300,Netherlands,['React'],
adzuna,nl,react developer,Junior React Developer,OfferZen,"Amsterdam, Noord-Holland",,,"Junior React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 1 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience work…",2023-06-03 19:10:08+00:00,2025-06-30 19:54:01.421304,Netherlands,['React'],
adzuna,nl,react developer,Junior React Developer,OfferZen,"Den Haag, Zuid-Holland",,,"Junior React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 1 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience work…",2023-02-16 14:35:23+00:00,2025-06-30 19:54:01.421308,Netherlands,['React'],
